<?/      | ⸮
<aacute/ | á
<acir/   | â
<acr/    | ă
<adot/   | ȧ
<ae/     | æ
<AE/     | Æ
<aemac/  | ǣ
<agrave/ | à
<amac/   | ā
<aring/  | å
<atil/   | ã
<aum/    | ä
<Aum/    | Ä
<bprime/ | ˝
<Cced/   | Ç
<cced/   | ç
<cre/    | ˘
<deg/    | °
<divide/ | ÷
<dsdot/  | ḍ
<Eacute/ | É
<eacute/ | é
<ecir/   | ê
<ecr/    | ĕ
<edh/    | ð
<egrave/ | è
<emac/   | ē
<eum/    | ë
<flat/   | ♭
<frac12/ | ½
<frac13/ | ⅓
<frac14/ | ¼
<frac23/ | ⅔
<hand/   | ☞
<iacute/ | í
<icir/   | î
<icr/    | ĭ
<igrave/ | ì
<imac/   | ī
<ium/    | ï
<ldquo/  | “
<lsquo/  | ‘
<middot/ | •
<ndot/   | ṅ
<nsdot/  | ṇ
<nsm/    | ṉ
<ntil/   | ñ
<Ntil/   | Ñ
<oacute/ | ó
<ocar/   | ǒ
<ocir/   | ô
<ocr/    | ŏ
<OE/     | Œ
<oe/     | œ
<oemac/  | ōē
<ograve/ | ò
<omac/   | ō
<oum/    | ö
<Oum/    | Ö
<pound/  | £
<prime/  | ´
<rdquo/  | ”
<root/   | √
<rsdot/  | ṛ
<sec/    | ˝
<sect/   | §
<segno/  | 𝄉
<sharp/  | ♯
<th/     | th
<thorn/  | þ
<tsdot/  | ṭ
<uacute/ | ú
<ucir/   | û
<ucr/    | ŭ
<ugrave/ | ù
<umac/   | ū
<uum/    | ü
<Uum/    | Ü
<ymac/   | ȳ
<yogh/   | ȝ
<yum/    | ÿ
—        | --
