⸮	<small>[symbol]</small><br><?/<br>(reverse-video question mark), used to represent an uncodable or illegible character<br>（反相问号），用于表示无法编码或难以辨认的字符
𝄉	<small>[symbol]</small><br><segno/<br>represents sheet music sign "Segno" (U+1D109).<br><segno/ 表示乐谱符号“Segno”（U+1D109）。
‖	<small>[symbol]</small><br>vertical double bar - represents the symbol used in the printed dictionary before a headword to signify that the word was adopted without anglicization from a foreign language but in the full-ASCII version this function uses ‖<br><par/<br>double vertical bar (short length; the long length is the graphics character ‖)<br>This precedes words marked with a double vertical bar in the original dictionary, signifying that the word was adopted directly into English without modification of the spelling.<br>竖双杠 - 表示印刷词典中用于标示该词未经英语化直接借自外语的符号，但在全ASCII版本中此功能使用‖<br>双竖杠（短长度；长长度是图形字符‖<br>在原始词典中，此符号位于标有双竖杠的单词前，表示该词在拼写未经修改的情况下直接借入英语。
h	<small>[symbol]</small><br><th/ (part 2) second of a two-character combination<br><th/ （第二部分）双字符组合的第二个字符
t	<small>[symbol]</small><br><th/ (part 1) first of a pair of characters<br><th/ （第一部分）双字符组合的第一个字符
th	<small>[symbol]</small><br>used to represent the th ligature<br>used to represent the th ligature in pronunciations<br><th/ represents the "th" sound of "mother"<br>用于表示th连字<br>用于表示注音中的th连字<br>表示“mother”中的“th”音
£	<small>[symbol]</small><br><pound/<br>英镑符号
§	<small>[symbol]</small><br><sect/<br>section mark<br>章节号
°	<small>[symbol]</small><br><deg/<br>degrees (temperature or angle). Note: some typists used a superscript "o" to signify degrees. This must be corrected!<br>度符号（温度或角度）。注意：有些打字员使用上标“o”来表示度。必须予以纠正！
´	<small>[symbol]</small><br><prime/<br>light accent in headwords<br>replaced within headwords in the full ASCII version by an open-single-quote `, not the same as ‘). This mark is used also for minutes of a degree, and for "prime" to modify variables in mathematical expressions.<br>-- two of these in sequence represent seconds of a degree, or double prime.<br>the seconds symbol is also represented by <sec/.<br>词目中的细体重音符号<br>在全ASCII版本的词目中被开单引号（`，不同于'）替代。此符号也用于表示角分，以及在数学表达式中修饰变量的“撇号”。<br>-- 连续两个此符号表示角秒或双撇号。<br>秒符号也由<sec/表示。
↕	<small>[symbol]</small><br>Long verticle double-headed arrow (a reference mark)<br>长垂直双头箭头（一种参考标记）
