<?/         | ⸮
<aacute/    | á
<acir/      | â
<acr/       | ă
<adot/      | ȧ
<ae/        | æ
<AE/        | Æ
<aemac/     | ǣ
<agrave/    | à
<amac/      | ā
<aring/     | å
<asl/       | a
<atil/      | ã
<aum/       | ä
<Aum/       | Ä
<bprime/    | ˝
<Cced/      | Ç
<cced/      | ç
<cre/       | ˘
<deg/       | °
<divide/    | ÷
<dsdot/     | ḍ
<Eacute/    | É
<eacute/    | é
<ecir/      | ê
<ecr/       | ĕ
<edh/       | ð
<egrave/    | è
<emac/      | ē
<esl/       | e
<eum/       | ë
<flat/      | ♭
<frac$1$2/  | $1⁄$2
<frac$1x$2/ | $1⁄$2
<hand/      | ☞
<iacute/    | í
<icir/      | î
<icr/       | ĭ
<igrave/    | ì
<imac/      | ī
<isl/       | i
<ium/       | ï
<ldquo/     | “
<lsquo/     | ‘
<middot/    | •
<ndot/      | ṅ
<nsdot/     | ṇ
<nsm/       | ṉ
<ntil/      | ñ
<Ntil/      | Ñ
<oacute/    | ó
<ocar/      | ǒ
<ocir/      | ô
<ocr/       | ŏ
<OE/        | Œ
<oe/        | œ
<oemac/     | ōē
<ograve/    | ò
<omac/      | ō
<osl/       | o
<oum/       | ö
<Oum/       | Ö
<pound/     | £
<prime/     | ´
<rdquo/     | ”
<root/      | √
<rsdot/     | ṛ
<sec/       | ˝
<sect/      | §
<segno/     | 𝄉
<sharp/     | ♯
<th/        | th
<thorn/     | þ
<tsdot/     | ṭ
<uacute/    | ú
<ucir/      | û
<ucr/       | ŭ
<ugrave/    | ù
<umac/      | ū
<uring/     | ů
<usl/       | u
<uum/       | ü
<Uum/       | Ü
<ymac/      | ȳ
<yogh/      | ȝ
<yum/       | ÿ
—           | --
