a.|adj.|adjective	形容词
abbrev.|abbreviated	缩写，略语
abl.|ablative	离格
Abp.|Archbishop	大主教
acc.|accusative	宾格
Acous.|Acoustics	声学
act.|active	主动语态
adv.|adverb	副词
Agric.|Agriculture	农业
Alban.|Albanian	阿尔巴尼亚语
Alg.|Algebra	代数
Am.|Amer.|America, American	美洲，美国的
Am.|Amos	《阿摩司书》
Am. Cyc.|Appleton's American Cyclopedia	阿普尔顿美国百科全书
Anal. Geom.|Analytical Geometry	解析几何
Anat.|Anatomy	解剖学
Anc.|Ancient, anciently	古代的，在古代
Angl. Ch.|Anglican Church	英国国教会
Antiq.|Aniquities	古物，古迹
aor.|aorist	不定过去时
Ar.|Arabic	阿拉伯语
Arch.|Architecture	建筑学
Arch. Pub. Soc.|Architectural Pub. Society	建筑出版协会
Arith.|Arithmetic	算术
Arm.|Armor.|Armorican	布列塔尼语（古称）
AS.|Anglo-Saxon	盎格鲁-撒克逊语
Astrol.|Astrology	占星术
Astron.|Astronomy	天文学
aug.|augmentative	指大词
Bank.|Banking	银行学
Beau./B. & Fl.|Beaumont & Fletcher	博蒙特与弗莱彻
Bib.|Biblical	圣经的
Bib. Sacra|Bibliotheca Sacra	《圣经文库》
Bibliog.|Bibliography	书目学，参考文献
Biol.|Biology	生物学
Bisc.|Biscayan	巴斯克语
B. Jon.|Ben Jonson	本·琼森
Bk. of Com. Prayer|Book of Common Prayer	《公祷书》
Blackw. Mag.|Blackwood's Magazine	《布莱克伍德杂志》
Bohem.|Bohemian	波西米亚语（捷克语）
Bot.|Botany, botanical	植物学，植物学的
Bp.|Bishop	主教
Brande & C.|Brande & Cox	布兰德与考克斯
Braz.|Brazilian	巴西的
Brit. Critic|British Critic	《英国评论家》
Brit. Quar. Rev.|British Quarterly Review	《英国季刊评论》
Burl.|Burlesque	滑稽戏
C.|Centigrade	摄氏度
Cant.|Canticles (Song of Solomon)	《雅歌》
Carp.|Carpentry	木工，细木工
Catal.|Catalan	加泰罗尼亚语
Cath. Dict.|Catholic Dictionary	《天主教词典》
Celt.|Celtic	凯尔特语
Cf.|Confer (compare)	比较，参照
Ch.|Church	教会
Chald.|Chaldee	迦勒底语
Chem.|Chemistry	化学
Ch. Hist.|Church History	教会历史
Chin.|Chinese	中文，中国的
Chron.|Chronology, Chronicles	年代学，历代志
Civ.|Civil	民事的，民法的
Class.|Classical	古典的
Class. Myth.|Classical Mythology	古典神话
Col.|Colossians	《歌罗西书》
Colloq.|coll.|Colloquial, colloquially	口语的，口语上
Com.|Commerce, Common	商业，公共的
comp.|compound, compounded, composition	复合词，合成的，组成
compar.|comparative	比较级
conj.|conjunction	连词
Con. Sect.|Conic Sections	圆锥曲线
contr.|contracted, contraction	缩略的，缩略形式
Copt.|Coptic	科普特语
Corn.|Cornish	康沃尔语
corrupt.|corrupted, corruption	讹误的，讹误
Cotgr.|Cotgrave	科特格雷夫
Cyc. Med.|Cyclopedia of Practical Medicine	《实用医学百科全书》
Crim. Law|Criminal Law	刑法
Crystallog.|Crystallography	晶体学
Cyc.|Cyclopedia	百科全书
D.|Dutch	荷兰语
Dan.|Danish, Daniel	丹麦语，但以理书
dat.|dative	与格
def.|definitions	定义
Deut.|Deuteronomy	《申命记》
Dial.|Dialectic	方言
dim.|diminutive	指小词
Diosc.|dioscorides	迪奥斯科里斯
Disp.|Dispensatory	药典
Disus.|Disused	已废弃的
Dom. Econ.|Domestic Economy	家庭经济学
Dublin Univ. Mag.|Dublin University Magazine	《都柏林大学杂志》
Dyn.|Dynamics	动力学
E.|English	英语
Eccl.|Ecclesiastical, Ecclesiastes	教会的，传道书
Eccl. Hist.|Ecclesiastical History	教会历史
Ecclus.|Ecclesiasticus	《便西拉智训》
Eclec. Rev.|Eclectic Review	《折衷评论》
Ed. Rev.|Edinburgh Review	《爱丁堡评论》
e. g.|<it>exemplia gratia</it> (for example)	例如
Egypt.|Egyptian	埃及语
Elect.|Electricity, Electrical	电学，电的
emph.|emphatic	强调的
Encyc.|Encyclopedia	百科全书
Encyc. Amer.|Encyclopedia Americana	《美利坚百科全书》
Encyc. Crit.|Encyclopedia Britannica	《不列颠百科全书》
Encyc. Dict.|Hunter's Encyclopedic Dictionary	亨特百科词典
Eng.|England, English	英格兰，英语
Eng.|Engraving	雕刻
Eng. Cyc.|English Cyclopedia	《英国百科全书》
Engin.|Engineering	工程学
Eol.|Eolic	伊奥利亚希腊语
Eph.|Ephes.|Ephesians	《以弗所书》
equiv.|equivalent	等同的
Esd.|Esdras	《以斯拉记》
esp.|especially	尤其
Etch. & Eng.|Etching & Engraving	蚀刻与雕刻
Ethnol.|Ethnology	人种学
etym.|etymol.|etymology	词源学
Ex.|Exod.|Exodus	《出埃及记》
Ezek.|Ezekiel	《以西结书》
F.|French	法语
f.|fem.|feminine	阴性
Fahr.|Fahrenheit	华氏度
Far.|Farriery	马兽医/马蹄铁术
Feud.|Feudal	封建的
Fig.|Figurative, figuratively	比喻的，比喻地
Fin.|Finnish	芬兰语
For. Quart. Rev.|Foreign Quarterly Review	《外国季刊评论》
Fort.|Fortification	防御工事
fr.|from	来自
Fr.|French	法语
freq.|frequentative	反复动词
Fries.|Friesic	弗里斯兰语
fut.|future	将来时
G.|German	德语
Gael.|Gaelic	盖尔语
Gal.|Galen	盖伦
Gal.|Galatians	《加拉太书》
Galv.|Galvanism	伽伐尼电学
gen.|generally, genitive	通常，属格
Geneal.|Genealogy	家谱学
Gent. Mag.|Gentleman's Magazine	《绅士杂志》
Geog.|Geography	地理学
Geol.|Geology	地质学
Geom.|Geometry	几何学
Ger.|German	德语
Goth.|Gothic	哥特语
Gov. of Tongue|Government of the Tongue	《语言的统治》
Gr.|Greek	希腊语
Gram.|Grammar	语法
Gris.|Grisons	格劳宾登语
Gun.|Gunnery	枪炮学
H.|High	高地
Hab.|Habakkuk	《哈巴谷书》
Hag.|Haggai	《哈该书》
Ham. Nav. Encyc.|Hamersly's Naval Encyclopedia	《哈默斯利海军百科全书》
Heb.|Hebrew, Hebrews	希伯来语，希伯来书
Her.|Heraldry	纹章学
Hind.|Hindostanee	印度斯坦语
Hipp.|Hippocrates	希波克拉底
Hist.|History	历史
Horol.|Horology	钟表学
Hort.|Horticulture	园艺学
Hung.|Hungarian	匈牙利语
Hydraul.|Hydraulics	水力学
Hydros.|Hydrostatics	流体静力学
hypoth.|hypothetical	假设的
Icel.|Icelandic	冰岛语
i. e.|<it>id est</it> (that is)	即，那就是
Illust.|Illustration, Illustrated	插图，有插图的
imp.|imperfect	未完成时
Imp. Dict.|Imperial Dictionary	《帝国词典》
incho.|inchoative	起始动词
ind.|indicative	陈述语气
indef.|indefinite	不定的
inf.|infinitive	不定式
intens.|intensive	强调的，强化词
interj.|interjection	感叹词
Internat. Cyc.|International Cyclopeia	《国际百科全书》
Ion.|Ionic	爱奥尼亚希腊语
i. q.|<it>idem quod</it> (the same as)	同于
Ir.|Irish	爱尔兰语
Is.|Isa.|Isaiah	《以赛亚书》
It.|Italian	意大利语
Jap.|Japanese	日语
Jas.|James	《雅各书》
